star mask ID RA1 RA2 RA3 Dec1 Dec2 Dec3 V deltaV I VI FeH R Multipleobs
22 mask 1 7 38 11.30 38 53 07.1 -20.373 2.285 17.798 1.105 -1.907 0.580 n
23 mask 2 7 38 11.48 38 53 02.6 -5.148 2.272 17.370 1.146 -1.962 0.592 n
24 mask 1 7 38 10.30 38 52 25.6 -30.009 2.358 18.918 0.968 -1.848 0.600 n
25 mask 2 7 38 06.42 38 53 21.5 -19.325 2.278 17.542 1.152 -1.546 0.602 n
26 B09 S14 7 38 11.58 38 53 05.8 -12.220 0.610 15.940 1.440 -3.485 0.624 n
27 mask 2 7 38 05.80 38 53 17.3 -24.109 2.282 17.758 1.123 -1.860 0.646 n
28 B09 S20 7 38 07.60 38 53 34.1 -23.660 0.550 16.082 1.419 -3.453 0.677 y
28 mask 2 7 38 07.60 38 53 34.2 -19.461 2.264 16.082 1.419 -1.407 0.679 y
29 B09 S6 7 38 06.89 38 53 33.5 -16.240 0.710 15.939 1.455 -3.481 0.716 y
29 mask 1 7 38 06.89 38 53 33.6 -18.856 2.274 15.939 1.455 -1.952 0.718 y
30 mask 2 7 38 12.20 38 52 51.3 -26.590 2.383 19.287 0.965 -1.533 0.721 n
31 mask 1 7 38 04.83 38 53 04.1 -31.310 2.309 17.711 1.172 -1.696 0.732 n
32 mask 1 7 38 11.00 38 53 29.7 -17.014 2.282 17.135 1.211 -1.607 0.756 n
33 B09 S23 7 38 09.57 38 53 38.7 -22.810 0.580 16.113 1.421 -3.444 0.759 n
34 mask 1 7 38 05.55 38 52 23.1 -20.172 2.366 18.746 0.988 -1.712 0.783 n
35 mask 2 7 38 05.78 38 52 19.7 -24.320 2.267 16.887 1.259 -1.806 0.792 n
36 mask 2 7 38 05.16 38 53 28.3 -29.221 2.270 16.588 1.301 -1.495 0.857 n
37 B09 S12 7 38 06.00 38 53 37.5 -22.160 0.630 16.037 1.432 -3.461 0.862 n
38 mask 1 7 38 04.49 38 53 18.7 -20.409 2.589 19.865 0.903 -1.527 0.877 n
39 mask 2 7 38 08.75 38 53 48.8 -15.343 2.430 16.715 1.348 -1.869 0.900 n
40 mask 1 7 38 13.06 38 53 11.1 -24.377 3.169 17.468 1.195 -1.605 0.926 n
41 B09 S2 7 38 09.90 38 52 00.7 -15.560 0.530 15.635 1.645 -3.512 0.943 n
42 mask 1 7 38 05.13 38 52 11.6 -20.403 2.296 17.992 1.066 -1.914 0.977 n
43 mask 2 7 38 05.30 38 53 40.7 -27.474 2.274 17.167 1.205 -1.388 0.986 n
44 mask 1 7 38 11.98 38 52 11.0 -25.504 2.278 16.291 1.370 -1.525 0.996 n
45 mask 1 7 38 06.56 38 51 59.1 -25.409 2.282 16.895 1.256 -1.914 1.004 y
45 mask 2 7 38 06.56 38 51 59.1 -24.024 2.263 16.895 1.256 -1.839 1.004 y
46 mask 2 7 38 06.24 38 51 59.8 -21.484 2.272 17.660 1.163 -1.913 1.019 n
47 mask 2 7 38 12.77 38 52 16.6 -23.786 2.480 19.785 0.966 -1.568 1.046 n
48 mask 1 7 38 07.52 38 51 52.9 -21.132 2.281 17.721 1.064 -2.055 1.051 n
49 mask 1 7 38 12.31 38 52 09.7 -26.248 2.282 17.506 1.164 -1.553 1.056 n
50 B09 4 7 38 05.94 38 53 50.8 -23.490 0.830 16.673 1.295 -3.327 1.057 n
51 mask 1 7 38 03.72 38 53 24.9 -19.591 2.301 16.892 1.239 -1.846 1.058 y
51 mask 2 7 38 03.72 38 53 24.9 -19.566 2.274 16.892 1.239 -1.840 1.058 y
52 mask 1 7 38 12.76 38 53 36.2 -14.816 2.265 16.121 1.409 -1.705 1.076 n
53 mask 1 7 38 13.87 38 52 34.2 -20.229 2.308 18.633 1.049 -1.847 1.099 n
54 mask 1 7 38 11.63 38 51 58.8 -17.571 2.263 15.673 1.584 -1.989 1.115 n
55 mask 1 7 38 04.16 38 52 10.7 -19.954 2.290 17.628 1.165 -1.797 1.122 n
56 B09 31 7 38 11.15 38 51 53.4 -18.020 1.080 16.774 1.283 -3.303 1.147 n
57 B09 S16 7 38 14.21 38 52 36.0 -19.990 0.460 16.054 1.449 -3.452 1.153 y
57 mask 1 7 38 14.21 38 52 36.1 -22.037 2.360 16.054 1.449 -1.798 1.153 y
58 mask 2 7 38 12.41 38 52 02.6 -18.242 2.273 17.702 1.133 -1.865 1.156 n
59 mask 2 7 38 06.42 38 51 49.7 -28.054 2.492 19.735 0.940 -1.616 1.160 n
60 mask 1 7 38 03.05 38 53 24.4 -19.784 2.661 19.872 0.940 -1.443 1.171 n
61 mask 2 7 38 03.75 38 53 39.6 -19.113 4.424 17.557 1.163 -2.202 1.189 n
62 B09 38 7 38 02.87 38 52 24.1 -23.630 0.400 16.215 1.375 -3.429 1.212 n
63 B09 34 7 38 04.90 38 51 50.6 -20.960 1.280 16.937 1.235 -3.272 1.281 n
64 mask 1 7 38 14.92 38 52 36.5 -37.390 2.279 17.607 1.122 -1.956 1.285 n
65 mask 1 7 38 03.37 38 52 06.0 -23.196 2.582 19.713 0.944 -1.354 1.290 n
66 mask 1 7 38 02.74 38 52 14.4 -23.532 2.285 17.085 1.234 -1.666 1.310 n
67 mask 2 7 38 01.69 38 52 54.2 -16.781 2.343 18.806 0.979 -1.915 1.327 n
68 B09 S3 7 38 01.92 38 53 15.4 -26.520 0.610 15.783 1.492 -3.513 1.327 n
69 mask 1 7 38 01.84 38 52 31.1 -14.943 2.301 17.318 1.160 -1.950 1.357 n
70 B09 36 7 38 03.29 38 51 57.2 -20.900 1.290 17.074 1.233 -3.236 1.399 n
71 mask 1 7 38 14.59 38 53 41.9 -24.363 2.301 17.694 1.139 -1.649 1.419 n
72 B09 35 7 38 03.55 38 51 51.9 -18.450 0.980 17.090 1.218 -3.236 1.426 y
72 mask 2 7 38 03.54 38 51 52.0 -18.874 2.269 17.090 1.218 -1.386 1.426 y
73 mask 1 7 38 01.35 38 53 27.7 -22.030 2.369 18.710 1.048 -1.801 1.497 n
74 mask 2 7 38 00.77 38 52 58.1 -23.904 2.280 17.388 1.200 -1.851 1.507 n
75 mask 2 7 38 11.61 38 51 31.6 -21.251 2.291 18.378 1.078 -1.713 1.514 n
76 mask 1 7 38 15.89 38 53 25.4 -21.291 2.363 18.980 1.022 -1.781 1.523 n
77 mask 1 7 38 16.42 38 53 01.0 -12.572 2.487 19.408 0.974 -1.571 1.543 n
78 B09 7 7 38 11.93 38 54 19.4 -22.400 1.260 17.877 1.112 -3.053 1.558 n
79 mask 1 7 38 09.61 38 51 21.8 -23.079 2.430 19.256 1.011 -1.690 1.566 n
80 B09 1 7 38 02.83 38 54 01.7 -21.630 1.310 17.461 1.145 -3.156 1.569 n
81 mask 1 7 38 10.67 38 51 23.5 -22.992 2.463 19.330 1.001 -1.487 1.580 n
82 mask 2 7 38 16.70 38 52 36.1 -21.921 2.262 16.886 1.253 -1.406 1.624 n
83 mask 2 7 38 14.96 38 51 51.6 -18.102 2.259 15.951 1.455 -1.856 1.640 n
84 mask 1 7 38 13.39 38 54 19.2 -26.983 2.586 19.627 0.985 -1.439 1.696 n
85 mask 2 7 37 59.90 38 53 13.2 -18.270 2.394 19.105 0.993 -1.634 1.703 n
86 B09 S10 7 38 16.92 38 53 35.0 -20.750 0.580 16.227 1.384 -3.423 1.768 n
87 mask 2 7 37 59.14 38 53 09.3 -17.711 2.358 18.715 1.044 -1.483 1.839 n
88 mask 1 7 38 02.33 38 51 31.0 -24.023 2.275 17.292 1.201 -1.966 1.845 n
89 mask 1 7 38 17.46 38 52 04.5 -18.671 2.266 17.229 1.180 -2.035 1.934 n
90 mask 2 7 38 15.02 38 51 25.4 -24.403 2.273 17.649 1.160 -1.505 1.957 n
91 B09 24 7 38 18.18 38 52 15.9 -21.680 1.110 17.544 1.158 -3.130 1.991 n
92 mask 2 7 38 15.58 38 51 28.4 -15.183 2.305 18.725 0.977 -1.917 1.993 n
93 mask 1 7 38 15.59 38 54 22.0 -18.895 2.293 18.275 1.083 -1.837 2.001 n
94 mask 2 7 38 17.56 38 51 57.5 -18.071 2.288 18.286 1.036 -1.815 2.004 n
95 mask 1 7 38 18.48 38 53 32.0 -20.034 2.577 19.910 0.968 -1.820 2.036 y
95 mask 2 7 38 18.48 38 53 32.0 -15.769 2.452 19.910 0.968 -1.660 2.036 y
96 mask 1 7 38 18.90 38 52 31.8 -18.255 2.267 17.237 1.204 -1.885 2.058 n
97 mask 2 7 38 12.63 38 51 01.2 48.942 2.719 19.990 0.814 -0.742 2.058 n
98 mask 2 7 38 17.64 38 51 50.6 -17.449 2.334 19.055 1.020 -1.735 2.075 n
99 mask 1 7 37 58.86 38 53 56.7 -17.789 2.334 17.790 1.077 -1.182 2.142 n
100 mask 1 7 38 17.81 38 54 06.1 46.917 2.283 17.032 1.201 -1.329 2.164 n
101 mask 2 7 37 57.76 38 53 29.3 -16.325 2.269 16.959 1.202 -1.473 2.169 n
102 B09 III89 7 38 09.79 38 50 45.4 -26.050 0.920 15.761 1.507 -3.515 2.173 n
103 B09 III107 7 38 15.55 38 51 13.5 -17.430 0.990 17.156 1.230 -3.215 2.176 n
104 B09 12 7 38 18.63 38 53 52.0 -17.700 1.160 17.409 1.186 -3.159 2.187 y
104 mask 2 7 38 18.63 38 53 52.1 -19.898 2.282 17.409 1.186 -1.679 2.188 y
105 mask 1 7 37 57.27 38 52 58.0 -24.719 2.331 17.816 1.122 -1.915 2.188 y
105 mask 2 7 37 57.27 38 52 58.0 -25.534 2.372 17.816 1.122 -1.864 2.188 y
106 mask 1 7 38 19.64 38 53 15.6 -28.739 2.271 15.909 1.471 -1.774 2.193 n
107 mask 1 7 38 18.16 38 54 04.2 -16.560 2.557 19.591 0.982 -1.633 2.205 n
108 mask 1 7 38 16.77 38 51 22.6 -17.489 2.421 19.347 1.006 -1.502 2.225 y
108 mask 2 7 38 16.77 38 51 22.6 -20.194 2.407 19.347 1.006 -1.481 2.225 y
109 B09 II118 7 38 16.93 38 54 25.2 -20.750 1.040 16.849 1.242 -3.294 2.225 n
110 mask 1 7 38 20.01 38 52 48.8 -26.997 2.290 17.987 1.103 -1.522 2.240 n
111 mask 1 7 38 17.13 38 51 24.5 -19.471 2.383 19.084 1.021 -1.704 2.255 n
112 mask 1 7 37 57.88 38 51 56.9 -18.050 2.280 16.595 1.305 -1.596 2.284 y
112 mask 2 7 37 57.88 38 51 56.9 -17.875 2.480 16.595 1.305 -1.570 2.284 y
113 mask 1 7 37 57.57 38 51 58.9 -20.987 2.392 19.232 1.017 -1.865 2.325 n
114 mask 1 7 38 20.54 38 53 06.4 -12.780 2.510 19.812 0.959 -1.755 2.349 n
115 mask 2 7 38 20.23 38 52 12.1 -19.165 2.285 17.866 1.130 -1.776 2.390 n
116 B09 III86 7 38 09.54 38 50 31.7 -18.890 0.990 16.973 1.248 -3.259 2.395 n
117 mask 1 7 37 58.19 38 51 36.5 -16.915 2.710 19.935 0.961 -1.725 2.396 n
118 mask 2 7 38 18.02 38 51 23.1 -19.906 2.279 18.138 1.103 -1.901 2.402 n
119 mask 1 7 37 56.40 38 53 28.0 -15.372 2.296 17.086 1.238 -1.725 2.420 y
119 mask 2 7 37 56.40 38 53 28.0 -15.207 2.271 17.086 1.238 -1.726 2.420 y
120 mask 1 7 38 15.28 38 54 57.7 -24.280 2.747 19.578 0.982 -1.197 2.434 n
121 mask 2 7 37 56.68 38 53 54.3 -20.776 2.284 17.126 1.202 -1.794 2.506 n
122 mask 1 7 38 20.92 38 53 44.1 -21.836 2.331 18.922 1.042 -1.851 2.550 n
123 mask 1 7 37 55.40 38 52 46.0 -18.686 2.436 19.246 1.037 -1.682 2.556 n
124 mask 2 7 37 56.48 38 51 53.3 -18.725 2.276 17.698 1.160 -1.797 2.557 n
125 mask 1 7 37 55.80 38 52 13.5 -21.527 2.295 17.831 1.145 -1.753 2.568 y
125 mask 2 7 37 55.80 38 52 13.5 -19.102 2.291 17.831 1.145 -1.644 2.568 y
126 mask 2 7 38 01.20 38 50 38.9 -21.521 2.287 17.898 1.138 -1.906 2.676 n
127 mask 1 7 37 54.67 38 53 00.3 -20.692 2.506 19.680 1.000 -1.711 2.695 n
128 mask 2 7 38 08.56 38 50 13.0 -18.569 2.453 19.612 0.901 -1.388 2.698 n
129 B09 II59 7 38 13.97 38 55 26.7 -23.200 1.110 17.641 1.164 -3.102 2.744 n
130 B09 IV93 7 37 56.45 38 51 22.8 -20.640 0.690 16.456 1.341 -3.373 2.805 n
131 mask 2 7 38 22.80 38 52 28.1 -30.504 2.269 17.466 1.177 -1.786 2.817 n
132 mask 2 7 38 21.96 38 51 46.7 -23.469 2.414 19.638 0.971 -1.733 2.854 n
133 mask 1 7 38 23.62 38 52 30.7 -21.792 2.675 19.822 0.967 -1.652 2.968 y
133 mask 2 7 38 23.62 38 52 30.7 -22.507 2.615 19.822 0.967 -1.320 2.968 y
134 mask 1 7 38 19.20 38 50 47.8 -19.527 2.270 17.365 1.204 -1.839 2.969 y
134 mask 2 7 38 19.20 38 50 47.8 -19.462 2.266 17.365 1.204 -1.814 2.969 y
135 mask 1 7 37 54.00 38 54 02.5 -18.755 2.347 18.664 1.057 -1.833 3.040 n
136 B09 III37 7 38 13.72 38 50 00.5 -21.300 1.200 17.092 1.200 -3.240 3.079 n
137 mask 2 7 38 14.52 38 50 00.2 -4.134 2.292 17.985 1.071 -1.160 3.138 n
138 mask 2 7 38 22.74 38 51 26.0 -20.773 2.298 18.517 0.987 -1.935 3.141 n
139 B09 I48 7 37 58.06 38 55 22.2 -18.470 0.710 16.911 1.220 -3.283 3.188 n
140 B09 I105 7 37 54.13 38 54 32.7 -21.430 0.970 16.892 1.255 -3.279 3.238 n
141 mask 2 7 38 08.76 38 49 40.2 -21.026 2.503 19.655 0.980 -1.312 3.245 n
142 mask 2 7 38 18.47 38 50 18.3 -19.292 2.560 19.985 0.930 -1.349 3.251 n
143 mask 1 7 37 51.26 38 53 07.4 -22.107 2.317 18.272 1.122 -1.837 3.363 n
144 mask 1 7 38 23.06 38 51 04.5 -20.391 2.322 18.527 1.033 -1.551 3.377 y
144 mask 2 7 38 23.06 38 51 04.5 -22.086 2.316 18.527 1.033 -1.463 3.377 y
145 mask 1 7 38 26.02 38 52 42.1 -20.035 2.351 18.872 1.016 -1.596 3.414 n
146 mask 2 7 38 18.19 38 49 52.9 -21.514 2.314 18.866 1.021 -1.591 3.571 n
147 B09 II23 7 38 09.58 38 56 30.0 -20.670 0.890 16.655 1.286 -3.334 3.591 n
148 mask 2 7 38 23.89 38 50 51.3 -22.526 2.270 17.190 1.211 -1.871 3.634 n
149 mask 1 7 38 24.59 38 54 50.4 -21.273 2.468 19.549 0.989 -1.666 3.673 n
150 mask 1 7 37 53.50 38 50 35.5 -31.810 2.828 19.942 0.959 -1.598 3.733 n
151 mask 2 7 38 26.89 38 51 30.7 -23.012 2.380 19.129 1.020 -1.713 3.843 n
152 mask 1 7 38 25.26 38 55 15.9 16.419 2.626 19.655 0.978 -0.873 4.018 n
153 mask 1 7 37 48.61 38 51 20.6 -22.418 2.325 18.673 0.999 -1.610 4.180 n
154 mask 2 7 38 27.15 38 50 43.3 -18.856 2.522 19.915 0.962 -1.540 4.240 n
155 mask 1 7 37 46.06 38 51 41.4 -21.155 2.281 17.821 1.094 -1.617 4.538 n
156 mask 2 7 38 19.92 38 48 50.4 18.899 2.518 19.661 0.867 -0.709 4.641 n
157 mask 1 7 37 45.44 38 54 23.6 -20.425 2.356 18.950 1.015 -1.659 4.726 n
158 mask 1 7 38 31.48 38 51 12.1 -21.597 2.277 17.598 1.172 -1.772 4.788 n
159 mask 1 7 38 33.01 38 53 45.2 -21.967 2.264 16.379 1.304 -1.452 4.841 n
160 mask 1 7 38 32.27 38 54 43.4 -20.964 2.292 17.018 1.233 -1.530 4.964 n
161 mask 1 7 37 42.49 38 51 11.9 -14.861 2.338 19.085 1.020 -1.769 5.348 n
162 mask 1 7 37 40.59 38 52 03.0 13.429 2.273 16.840 1.190 -1.277 5.502 n
163 mask 2 7 38 31.98 38 49 47.7 -21.679 2.429 19.249 1.006 -1.545 5.533 n
164 mask 1 7 37 40.96 38 51 05.7 -21.438 2.260 16.637 1.285 -1.909 5.663 n
165 mask 2 7 38 32.03 38 49 13.9 -52.154 2.368 18.451 1.100 -0.993 5.877 n
166 mask 1 7 38 41.05 38 52 26.0 -18.550 2.322 17.867 1.053 -2.047 6.351 n
167 mask 2 7 38 30.47 38 47 46.5 -21.544 2.512 19.722 0.947 -1.514 6.686 n
168 mask 1 7 37 33.01 38 51 39.9 -25.755 2.603 19.637 0.950 -1.705 7.022 n
169 mask 2 7 38 42.77 38 49 41.0 -160.538 2.735 19.925 0.828 -0.867 7.412 n
170 mask 1 7 37 29.30 38 52 28.7 -19.041 2.286 17.645 1.119 -1.941 7.644 n
171 mask 2 7 38 34.78 38 47 04.1 -21.921 2.525 19.273 0.956 -0.822 7.769 n
172 mask 2 7 38 48.16 38 48 19.6 -5.179 2.499 19.690 0.968 -1.272 8.981 n
173 mask 1 7 37 22.10 38 52 45.5 -32.019 2.356 18.114 1.155 -0.977 9.033 n
174 mask 1 7 37 22.89 38 51 05.9 -14.079 2.506 18.711 1.120 -1.519 9.064 n
175 mask 2 7 38 43.77 38 46 01.5 -50.217 2.278 17.046 1.239 -1.127 9.728 n
176 mask 2 7 38 49.47 38 46 22.9 -49.256 2.285 17.281 1.238 -1.082 10.311 n
177 mask 2 7 38 55.49 38 47 44.3 -21.062 2.540 16.729 1.317 -1.052 10.511 n
178 mask 2 7 38 56.74 38 43 54.3 -22.239 2.533 19.340 0.876 -1.066 13.018 n
